Name,Weight (g),Type,Group,Denali,McBride Traverse,Day
Showa Temres 282-02 XL,147,Gloves,Clothes,1,1,1
Arcteryx Fission SV L,234,Gloves,Clothes,1,,1
OR Alti Mitts M,352,Gloves,Clothes,1,,
Norwegian beanie,50,Hat,Clothes,1,1,1
Thick Norwegian hat,92,Hat,Clothes,1,,
Buff,41,Buff,Clothes,2,1,1
,,,,,,
Mammut Barryvox S,214,Beacon,Safety,1,1,1
Mammut Alugator Light,482,Shovel,Safety,1,1,1
Mammut Carbon Probe 240 Light,201,Probe,Safety,1,1,1
Petzl Sirocco M/L,170,Helmet,Safety,1,1,
Smith Vantage MIPS L (no ear pads),508,Helmet,Safety,,,1
,,,,,,
ATK 91mm Ski Crampons,139,Ski Crampons,Technical,,,
ATK 102mm Ski Crampons,148,Ski Crampons,Technical,1,1,
ATK 108mm Ski Crampons,163,Ski Crampons,Technical,,,
Auftrib Plates,438,Ascent Plates,Technical,1,,1
Petzl Gully,292,Ice Axe,Technical,2,1,1
Petzl Quark,568,Ice Axe,Technical,,,
"Petzl Leopard Automatic, no strap, no antibott",296,Crampons,Technical,,,
"Petzl Irvis Hybrid Automatic, strap, antibott",550,Crampons,Technical,,1,1
Petzl Sarken ,991,Crampons,Technical,1,,
,,,,,,
Petzl Altitude M,172,Harness,Crevasse Rescue,1,1,
DMM Chimera,30,Carabiner,Crevasse Rescue,4,4,
DMM Mini Locker,41,Locking Carabiner,Crevasse Rescue,3,3,
Petzl Sm'D Locker,48,Locking Carabiner,Crevasse Rescue,1,1,
Petzl Attache 3D Locker,57,Locking Carabiner,Crevasse Rescue,1,1,
Petzl Reverso,62,Belay Device,Crevasse Rescue,,,
Double Length Sling,37,Sling,Crevasse Rescue,1,1,
Quad Length Sling,74,Sling,Crevasse Rescue,1,1,
Nanotraxion,51,Progress Capture Pulley,Crevasse Rescue,1,1,
Tibloc,34,Ascender,Crevasse Rescue,1,1,
Ice Clippers,28,Clippers,Crevasse Rescue,,,
Petzl RAD Line 30m,720,Rope,Crevasse Rescue,2,,
5mm Cord 1m,23,Cord,Crevasse Rescue,10,,
Yellow Petzl Laser Speed Light,91,Ice Screw,Crevasse Rescue,,,
Blue Petzl Laser Speed Light,101,Ice Screw,Crevasse Rescue,1,,
Green Petzl Laser Speed Light,112,Ice Screw,Crevasse Rescue,1,,
V-Thread Tool,28,V-Thread Tool,Crevasse Rescue,1,,
,,,,,,
"Day of food (2lbs, 4000 calories @ 4.5 cal/g)",888.89,Unit,Food,25,,
Spork,15,Utensil,Food,1,,
Food bag,28,Food Bag,Food,1,,
HMG Pod 4400 L,39,Food Bag,Food,1,,
Sea to Summit Bowl,150,Bowl,Food,1,,
Sea to Summit Mug,67,Mug,Food,,,
,,,,,,
0.5L Nalgene,89,Hard Bottle,Water,1,1,
1L Nalgene,178,Hard Bottle,Water,1,,
1L Hydrapak Bottle,104,Soft Bottle,Water,,,1
2L Hydrapak,98,Soft Bottle,Water,1,1,1
0.5L Hydroflask,318,Thermos,Water,,,
1L Hydroflask,477,Thermos,Water,,,
Water (1L),1000,Water,Water,,,
Pee Bottle,50,Pee Bottle,Water,1,,
,,,,,,
La Sportiva Jackal II BOA,712,Shoes,Shoes,,1,
,,,,,,
NeoAir XLite Regular,340,Sleeping Pad,Sleeping,,,
NeoAir XTherm Regular,432,Sleeping Pad,Sleeping,,1,
NeoAir XTherm Wide,597,Sleeping Pad,Sleeping,1,,
Thermarest ZLite 3/4 pad,283,Sleeping Pad,Sleeping,1,1,
Feathered Friends Vireo,520,Sleeping Bag,Sleeping,,1,
Feathered Friends Snowbunting,1305,Sleeping Bag,Sleeping,,,
Feathered Friends Eider,1622,Sleeping Bag,Sleeping,1,,
"Down Booties (68g inner, 64g liner, 12g padding)",288,Booties,Sleeping,1,,
Down Booties (just the inner),136,Booties,Sleeping,,1,
Sea to Summit Aeros Premium Pillow (no bag),72,Pillow,Sleeping,,1,
Nemo Fillo Pillow,240,Pillow,Sleeping,1,,
Lightweight Dry bag 20L,160,Bag,Sleeping,,1,
UL Dry Bag 35L,116,Bag,Sleeping,1,,
Manta Mask,40,Sleep Mask,Sleeping,1,1,
Earplugs,1,Earplugs,Sleeping,1,1,
,,,,,,
HMG Ground Cloth,109,Ground Cloth,Shelter (group),,,
HMG UltaMid 4,653,Tarp,Shelter (group),1,1,
Megalight,700,Tarp,Shelter (group),,,
Hilleberg Nammatj 3 GT,3722,Tent,Shelter (group),1,,
Hilleberg Nammatj 3 GT Tent Floor,936,Tent Floor,Shelter (group),1,,
Snow Stake,,Tent Stake,Shelter (group),12,,
,,,,,,
Reactor,174,Burner,Stove (group),1,1,
Reactor 1.7L Pot,300,Pot,Stove (group),,,
Reactor 1L Pot,228,Pot,Stove (group),1,1,
"Whisperlite (stove, pump, fuel bottle, screen)",570,Pot,Stove (group),2,,
110g MSR Fuel Can,211,Fuel,Stove (group),,,
227g MSR Fuel Can,374,Fuel,Stove (group),,,
450g MSR Fuel Can,660,Fuel,Stove (group),2,1,
Lighter,22,Lighter,Stove (group),4,2,
,,,,,,
Toothbrush,8,Toothbrush,Toiletries,1,1,
Toothpaste,29,Toothpaste,Toiletries,1,1,
Floss,1,Floss,Toiletries,1,1,
Nail Clippers,10,Nail Clippers,Toiletries,1,,
Hand sanitizer,31,Hand sanitizer,Toiletries,1,1,
Leukotape (whole roll),113,Leukotape,Toiletries,1,1,
,,,,,,
AK Gear Company Sled,1222,Sled,Expedition,1,,
Sled Skin,121,Sled,Expedition,1,,
Airtrim Mask,36,Mask,Expedition,1,,
MSR Whisperlite Repair Kit,109,Repair Kit,Expedition,1,,
Forty Below Coozie,122,Coozie,Expedition,1,,
Ascender,164,Ascender,Expedition,1,,
Thermarest Repair Kit,11,Repair,Expedition,1,,
Tenacious tape,10,Repair,Expedition,1,,
,,,,,,
Passport,1,Documents,Documents,,,
